text,label,ticket_id,agent_name,text_length
Where can I find API rate limits documentation?,other,1000,Dana,47
Can I migrate data from Freshdesk?,other,1001,Bob,34
Cannot update billing address; page keeps reloading.,billing,1002,Charlie,52
Looking for a product roadmap or upcoming features.,other,1003,Dana,51
Dark mode toggled but UI stays light.,tech-support,1004,Alice,37
Promo code SPRING15 not applied at checkout.,billing,1005,Alice,44
Incorrect role assigned; need admin access for my team.,account,1006,Dana,55
File export to CSV generates corrupted file.,technical,1007,Dana,44
Overcharged by GHS 120 on my last bill. 😡,billing,1008,Dana,41
Username amina already taken but it's my old account.,accnt,1010,Bob,53
Please provide onboarding training for my team. ###,other,1011,Charlie,51
Integration with Slack fails with timeout. !!!,technical,1012,Charlie,46
Need to change email from old@mail.com to me@company.com.,account,1013,Bob,57
Cannot update billing address; page keeps reloading.,billing,1014,Charlie,52
Need to merge two accounts into one.,accnt,1015,Alice,36
Do you offer discounts for students or NGOs?,other ,1016,Bob,44
How can I request my data under GDPR?,other ,1018,Dana,37
How do I delete my account and all data?,accnt,1019,Alice,40
Do you offer discounts for students or NGOs?,other,1020,Charlie,44
Promo code SAVE20 not applied at checkout. 😡,billng,1021,Charlie,44
Please provide onboarding training for my team.,other ,1022,Dana,47
Subscription renewal charged incorrectly this month.,billng,1023,Alice,52
Currency converted incorrectly; expected GHS. 12345,billing ,1024,Charlie,51
Forgot my password and reset link never arrives.,accnt,1025,Alice,48
File export to CSV generates corrupted file.,technical,1026,Charlie,44
Promo code BLACK50 not applied at checkout.,billng,1027,Bob,43
Overcharged by $49 on my last bill.,billing,1028,Dana,35
Payment failed during checkout with card ending 4421.,billing,1029,Dana,53
How do I delete my account and all data? 12345,accnt,1031,Charlie,46
Incorrect role assigned; need admin access for my team., account ,1032,Alice,55
App crashes when I tap Submit on Android.,technical,1033,Charlie,41
Incorrect role assigned; need admin access for my team.,accnt,1034,Alice,55
Locked out after too many login attempts.,account,1035,Bob,41
Locked out after too many login attempts.,accnt,1036,Dana,41
Cannot enable two-factor authentication; QR fails to scan.,account,1037,Charlie,58
How do I delete my account and all data?, account ,1038,Bob,40
Do you offer discounts for students or NGOs?,other,1039,Alice,44
Can't verify phone number; code not sent.,accnt,1040,Dana,41
Need to merge two accounts into one.,accnt,1041,Bob,36
Notifications not arriving on iOS after latest update. 12345, tech,1042,Alice,60
Need to merge two accounts into one., account ,1043,Dana,36
Currency converted incorrectly; expected GHS. 12345,billing,1044,Charlie,51
Dark mode toggled but UI stays light.,technical,1045,Alice,37
Subscription renewal charged incorrectly this month. 😡,billng,1046,Dana,54
Can't verify phone number; code not sent. <br>,account,1047,Dana,46
Subscription renewal charged incorrectly this month.,billng,1048,Charlie,52
When is the Pro pricing changing?,other ,1049,Dana,33
Payment failed during checkout with card ending 4421.,billng,1050,Charlie,53
Looking for a product roadmap or upcoming features. ###,other,1051,Charlie,55
Can I migrate data from Freshdesk?,other,1052,Bob,34
Is there a sandbox environment for testing?,other,1053,Charlie,43
Subscription renewal charged incorrectly this month.,billing,1054,Charlie,52
Dark mode toggled but UI stays light. 😡,tech-support,1056,Dana,39
Where can I find API rate limits documentation?,other ,1057,Bob,47
Promo code BLACK50 not applied at checkout. 12345,billng,1058,Alice,49
Charged twice for the same order #46048.,billng,1059,Alice,40
Cannot enable two-factor authentication; QR fails to scan.,account,1061,Bob,58
Subscription renewal charged incorrectly this month.,billing,1062,Dana,52
Dark mode toggled but UI stays light.,tech-support,1063,Bob,37
When is the Basic pricing changing?,other,1064,Alice,35
Locked out after too many login attempts.,account,1065,Alice,41
Do you offer discounts for students or NGOs?,other ,1066,Dana,44
Please provide onboarding training for my team. <br>,other,1070,Bob,52
Overcharged by $12.99 on my last bill.,billng,1071,Charlie,38
Please provide onboarding training for my team. 12345,other ,1072,Alice,53
Cannot enable two-factor authentication; QR fails to scan.,accnt,1074,Charlie,58
Do you offer discounts for students or NGOs?,other,1075,Alice,44
Can I migrate data from Zendesk?,other,1077,Bob,32
Website returns 500 error on /checkout.,tech-support,1078,Alice,39
Locked out after too many login attempts.,account,1079,Charlie,41
Refund not received after 5 days.,billing ,1080,Charlie,33
Promo code SPRING15 not applied at checkout.,billing,1081,Charlie,44
Cannot update billing address; page keeps reloading.,billing ,1083,Alice,52
Integration with Slack fails with timeout., tech,1085,Alice,42
Charged twice for the same order #28202. 😡,billng,1086,Dana,42
When is the Pro pricing changing?,other,1087,Charlie,33
Profile picture upload fails with unknown error. !!!,account,1088,Alice,52
Can't verify phone number; code not sent.,account,1089,Dana,41
Need to merge two accounts into one., account ,1090,Alice,36
How can I request my data under GDPR?,other,1091,Charlie,37
Live chat widget not loading on homepage. !!!, tech,1092,Charlie,45
File export to CSV generates corrupted file.,technical,1093,Alice,44
Profile picture upload fails with unknown error.,accnt,1094,Bob,48
Subscription renewal charged incorrectly this month.,billing ,1095,Alice,52
File export to CSV generates corrupted file., tech,1096,Dana,44
Invoice is missing VAT number.,billing,1097,Bob,30
Can't verify phone number; code not sent.,account,1098,Charlie,41
Payment failed during checkout with card ending 4421.,billing,1099,Charlie,53
Locked out after too many login attempts.,accnt,1100,Dana,41
Incorrect role assigned; need admin access for my team.,account,1101,Alice,55
Need to merge two accounts into one. 😡,accnt,1102,Charlie,38
Need to merge two accounts into one.,account,1105,Alice,36
Invoice is missing VAT number.,billing ,1106,Dana,30
Need to change email from user@old.co to me@company.com., account ,1107,Alice,56
How can I request my data under GDPR?,other,1108,Bob,37
Locked out after too many login attempts.,account,1109,Bob,41
Can I migrate data from Freshdesk? ###,other,1110,Bob,38
Please add support for audit logs in the next release.,other,1111,Charlie,54
Promo code BLACK50 not applied at checkout.,billing,1112,Bob,43
Is there a sandbox environment for testing?,other ,1113,Charlie,43
Charged twice for the same order #19071.,billing ,1114,Charlie,40
Upload stuck at 37% for more than 10 minutes. !!!,tech-support,1115,Charlie,49
Forgot my password and reset link never arrives., account ,1116,Bob,48
App crashes when I tap Save on Android. <br>,technical,1117,Bob,44
Live chat widget not loading on homepage.,technical,1118,Charlie,41
Website returns 500 error on /profile.,tech-support,1119,Charlie,38
Username amina already taken but it's my old account., account ,1120,Dana,53
Do you offer discounts for students or NGOs?,other,1121,Alice,44
Forgot my password and reset link never arrives.,account,1122,Alice,48
Live chat widget not loading on homepage. 12345, tech,1123,Charlie,47
Invoice is missing VAT number.,billing,1125,Charlie,30
Do you offer discounts for students or NGOs? 12345,other ,1126,Alice,50
Can I migrate data from Excel?,other ,1128,Dana,30
Dark mode toggled but UI stays light. !!!,technical,1129,Alice,41
When is the Basic pricing changing?,other,1130,Bob,35
Promo code BLACK50 not applied at checkout.,billing,1131,Charlie,43
Please provide onboarding training for my team.,other ,1132,Alice,47
Requesting invoice to be sent monthly instead of weekly.,other,1133,Charlie,56
Need receipt for reimbursement for order #60488.,billing ,1134,Alice,48
Need receipt for reimbursement for order #87832.,billing ,1135,Charlie,48
Can I migrate data from Zendesk?,other ,1136,Bob,32
Live chat widget not loading on homepage.,technical,1137,Charlie,41
File export to CSV generates corrupted file., tech,1138,Alice,44
Website returns 500 error on /orders.,technical,1139,Charlie,37
Website returns 500 error on /profile.,tech-support,1140,Dana,38
Can't verify phone number; code not sent. <br>,account,1141,Dana,46
Do you offer discounts for students or NGOs?,other,1143,Alice,44
Need to change email from user@old.co to me@company.com. !!!,accnt,1144,Alice,60
Currency converted incorrectly; expected USD.,billng,1145,Bob,45
App crashes when I tap Login on Android.,technical,1146,Charlie,40
Do you offer discounts for students or NGOs?,other,1147,Alice,44
Website returns 500 error on /profile.,technical,1148,Charlie,38
When is the Pro pricing changing?,other ,1149,Alice,33
Live chat widget not loading on homepage.,tech-support,1150,Dana,41
Overcharged by $12.99 on my last bill.,billing ,1151,Alice,38
Search results page is blank after entering a query., tech,1152,Dana,52
Search results page is blank after entering a query., tech,1153,Alice,52
Profile picture upload fails with unknown error.,accnt,1154,Charlie,48
Notifications not arriving on iOS after latest update., tech,1156,Alice,54
Refund not received after 7 days. !!!,billing ,1157,Dana,37
How do I delete my account and all data?,accnt,1158,Dana,40
Incorrect role assigned; need admin access for my team.,accnt,1159,Alice,55
Requesting invoice to be sent monthly instead of weekly.,other,1160,Alice,56
Overcharged by GHS 120 on my last bill.,billng,1161,Alice,39
Profile picture upload fails with unknown error.,account,1162,Bob,48
Overcharged by $12.99 on my last bill.,billing,1163,Alice,38
File export to CSV generates corrupted file. ###,tech-support,1164,Charlie,48
